quarter,level_1,level_2,level_3,value
2001-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,-8
2001-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,-12
2001-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-15
2001-Q4,Total Services Sector,Financial & Insurance,Fund Management,na
2001-Q4,Total Services Sector,Financial & Insurance,Insurance Companies,26
2001-Q4,Total Services Sector,Financial & Insurance,Other Financial Services,-3
2002-Q1,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-7
2002-Q1,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-14
2002-Q1,Total Services Sector,Accommodation & Food Services,Accommodation,41
2002-Q1,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,11
2002-Q1,Total Services Sector,Financial & Insurance,Banks & Finance Companies,29
2002-Q1,Total Services Sector,Financial & Insurance,Security Dealing Activities,-13
2002-Q1,Total Services Sector,Financial & Insurance,Fund Management,na
2002-Q1,Total Services Sector,Financial & Insurance,Insurance Companies,33
2002-Q1,Total Services Sector,Financial & Insurance,Other Financial Services,26
2002-Q2,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,8
2002-Q2,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-24
2002-Q2,Total Services Sector,Accommodation & Food Services,Accommodation,58
2002-Q2,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,4
2002-Q2,Total Services Sector,Financial & Insurance,Banks & Finance Companies,30
2002-Q2,Total Services Sector,Financial & Insurance,Security Dealing Activities,-3
2002-Q2,Total Services Sector,Financial & Insurance,Fund Management,na
2002-Q2,Total Services Sector,Financial & Insurance,Insurance Companies,26
2002-Q2,Total Services Sector,Financial & Insurance,Other Financial Services,6
2002-Q3,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,4
2002-Q3,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-7
2002-Q3,Total Services Sector,Accommodation & Food Services,Accommodation,72
2002-Q3,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,71
2002-Q3,Total Services Sector,Financial & Insurance,Banks & Finance Companies,25
2002-Q3,Total Services Sector,Financial & Insurance,Security Dealing Activities,2
2002-Q3,Total Services Sector,Financial & Insurance,Fund Management,na
2002-Q3,Total Services Sector,Financial & Insurance,Insurance Companies,42
2002-Q3,Total Services Sector,Financial & Insurance,Other Financial Services,4
2002-Q4,Total Services Sector,Wholesale & Retail Trade,Wholesale Trade,-17
2002-Q4,Total Services Sector,Wholesale & Retail Trade,Retail Trade,-12
2002-Q4,Total Services Sector,Accommodation & Food Services,Accommodation,-26
2002-Q4,Total Services Sector,Accommodation & Food Services,Food & Beverage Services,23
2002-Q4,Total Services Sector,Financial & Insurance,Banks & Finance Companies,15
2002-Q4,Total Services Sector,Financial & Insurance,Security Dealing Activities,-10
